filename	gaba_sd	ampa_sd	nmda_sd	em_sd	deepbasket_count	stimulated	tcr_spiked	simtime
data_20140520_123248_17595.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140521_090848_17993.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140522_055626_18272.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140523_024613_18685.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140523_233014_19087.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
# data_20140525_130513_20265.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
# data_20140526_110240_20695.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
# data_20140527_101534_21120.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
# data_20140528_082350_21537.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
# data_20140529_061537_21860.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
data_20140719_203045_21294.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140720_193239_21856.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140721_155857_22403.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140722_122930_22791.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140723_091844_23182.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
