filename	gaba_sd	ampa_sd	nmda_sd	em_sd	deepbasket_count	stimulated	tcr_spiked	simtime
data_20130703_154757_1190.h5	0.0	0.0	0.0	0.05	30	True	True	20.0
data_20130704_164858_1997.h5	0.0	0.0	0.0	0.05	30	True	True	20.0
data_20130706_184225_2488.h5	0.0	0.0	0.0	0.05	30	True	True	20.0
data_20130708_111436_3606.h5	0.0	0.0	0.0	0.05	30	True	True	20.0
data_20130709_091028_4120.h5	0.0	0.0	0.0	0.05	30	True	True	20.0
data_20130710_090635_4684.h5	0.0	0.0	0.0	0.05	40	True	True	20.0
data_20130711_085422_5202.h5	0.0	0.0	0.0	0.05	40	True	True	20.0
data_20130712_093043_5653.h5	0.0	0.0	0.0	0.05	40	True	True	20.0
data_20130713_092751_6418.h5	0.0	0.0	0.0	0.05	40	True	True	20.0
data_20130714_085240_6936.h5	0.0	0.0	0.0	0.05	40	True	True	20.0
data_20130715_081405_7949.h5	0.0	0.0	0.0	0.05	50	True	True	20.0
data_20130716_115812_8583.h5	0.0	0.0	0.0	0.05	50	True	True	20.0
data_20130717_105140_9234.h5	0.0	0.0	0.0	0.05	50	True	True	20.0
data_20130718_091825_9736.h5	0.0	0.0	0.0	0.05	50	True	True	20.0
data_20130719_081927_10403.h5	0.0	0.0	0.0	0.05	50	True	True	20.0
data_20130720_122721_11193.h5	0.0	0.0	0.0	0.05	60	True	True	20.0
data_20130722_112935_12176.h5	0.0	0.0	0.0	0.05	60	True	True	20.0
data_20130723_082441_12676.h5	0.0	0.0	0.0	0.05	60	True	True	20.0
data_20130724_084953_13188.h5	0.0	0.0	0.0	0.05	60	True	True	20.0
data_20130725_083308_13689.h5	0.0	0.0	0.0	0.05	60	True	True	20.0
data_20130813_091028_22333.h5	0.0	0.0	0.0	0.05	60	True	True	20.0
data_20130814_085452_22720.h5	0.0	0.0	0.0	0.05	55	True	True	20.0
data_20130815_090520_23076.h5	0.0	0.0	0.0	0.05	55	True	True	20.0
data_20130816_085927_23911.h5	0.0	0.0	0.0	0.05	55	True	True	20.0
data_20130817_170157_2129.h5	0.0	0.0	0.0	0.05	55	True	True	20.0
data_20130818_174633_2640.h5	0.0	0.0	0.0	0.05	55	True	True	20.0
data_20130819_143921_3262.h5	0.0	0.0	0.0	0.05	55	True	True	20.0
data_20130820_120235_3664.h5	0.0	0.0	0.0	0.05	55	True	True	20.0
data_20130821_075043_3977.h5	0.0	0.0	0.0	0.05	55	True	True	20.0
data_20130822_115129_4655.h5	0.0	0.0	0.0	0.05	55	True	True	20.0
data_20130823_074052_4942.h5	0.0	0.0	0.0	0.05	55	True	True	20.0
data_20130824_120558_5531.h5	0.0	0.0	0.0	0.05	65	True	True	20.0
data_20130825_082949_5951.h5	0.0	0.0	0.0	0.05	65	True	True	20.0
data_20130826_044918_6227.h5	0.0	0.0	0.0	0.05	65	True	True	20.0
data_20130827_011017_6640.h5	0.0	0.0	0.0	0.05	65	True	True	20.0
data_20130827_213944_7220.h5	0.0	0.0	0.0	0.05	65	True	True	20.0
data_20130828_180212_7624.h5	0.0	0.0	0.0	0.05	65	True	True	20.0
data_20130829_142455_8053.h5	0.0	0.0	0.0	0.05	65	True	True	20.0
data_20130830_104805_8461.h5	0.0	0.0	0.0	0.05	65	True	True	20.0
data_20130831_071257_8884.h5	0.0	0.0	0.0	0.05	65	True	True	20.0
data_20130901_033738_9294.h5	0.0	0.0	0.0	0.05	65	True	True	20.0
data_20130903_145820_11001.h5	0.0	0.0	0.0	0.05	70	True	True	20.0
data_20130904_144443_11457.h5	0.0	0.0	0.0	0.05	70	True	True	20.0
data_20130905_114542_12014.h5	0.0	0.0	0.0	0.05	70	True	True	20.0
data_20130906_085010_12429.h5	0.0	0.0	0.0	0.05	70	True	True	20.0
data_20130907_054814_12844.h5	0.0	0.0	0.0	0.05	70	True	True	20.0
data_20130908_024552_13254.h5	0.0	0.0	0.0	0.05	70	True	True	20.0
data_20130908_234539_13677.h5	0.0	0.0	0.0	0.05	70	True	True	20.0
data_20130909_205139_14644.h5	0.0	0.0	0.0	0.05	70	True	True	20.0
data_20130910_180958_15058.h5	0.0	0.0	0.0	0.05	70	True	True	20.0
data_20130911_150931_15621.h5	0.0	0.0	0.0	0.05	70	True	True	20.0
data_20130912_172416_16165.h5	0.0	0.0	0.0	0.05	80	True	True	20.0
data_20130913_193136_16675.h5	0.0	0.0	0.0	0.05	80	True	True	20.0
data_20130914_170450_17236.h5	0.0	0.0	0.0	0.05	80	True	True	20.0
data_20130915_144032_17664.h5	0.0	0.0	0.0	0.05	80	True	True	20.0
data_20130916_121645_18091.h5	0.0	0.0	0.0	0.05	80	True	True	20.0
data_20130917_100148_18510.h5	0.0	0.0	0.0	0.05	80	True	True	20.0
data_20130918_074202_18994.h5	0.0	0.0	0.0	0.05	80	True	True	20.0
data_20130919_051905_19358.h5	0.0	0.0	0.0	0.05	80	True	True	20.0
data_20130920_025605_19773.h5	0.0	0.0	0.0	0.05	80	True	True	20.0
data_20130921_003828_20197.h5	0.0	0.0	0.0	0.05	80	True	True	20.0
