filename	gaba_sd	ampa_sd	nmda_sd	em_sd	deepbasket_count	stimulated	tcr_spiked	simtime
data_20140530_165956_23542.h5	1.0	1.0	1.0	0.05	80	True	True	20.0
data_20140601_161404_14044.h5	1.0	1.0	1.0	0.05	80	True	True	20.0
data_20140602_144327_14758.h5	1.0	1.0	1.0	0.05	80	True	True	20.0
data_20140603_124208_15356.h5	1.0	1.0	1.0	0.05	80	True	True	20.0
data_20140604_102419_15877.h5	1.0	1.0	1.0	0.05	80	True	True	20.0
data_20140605_092624_16345.h5	1.0	1.0	1.0	0.05	60	True	True	20.0
data_20140606_100530_16881.h5	1.0	1.0	1.0	0.05	60	True	True	20.0
data_20140607_121617_17422.h5	1.0	1.0	1.0	0.05	60	True	True	20.0
data_20140608_094303_17896.h5	1.0	1.0	1.0	0.05	60	True	True	20.0
data_20140609_062621_18211.h5	1.0	1.0	1.0	0.05	60	True	True	20.0
data_20140610_044913_18688.h5	1.0	1.0	1.0	0.05	60	True	True	20.0
data_20140612_161825_1961.h5	1.0	1.0	1.0	0.05	30	True	True	20.0
data_20140613_110415_2365.h5	1.0	1.0	1.0	0.05	30	True	True	20.0
data_20140614_054343_2613.h5	1.0	1.0	1.0	0.05	30	True	True	20.0
data_20140615_002349_2987.h5	1.0	1.0	1.0	0.05	30	True	True	20.0
data_20140615_190512_3515.h5	1.0	1.0	1.0	0.05	30	True	True	20.0
data_20140616_164528_4221.h5	1.0	1.0	1.0	0.05	50	True	True	20.0
data_20140617_124645_4607.h5	1.0	1.0	1.0	0.05	50	True	True	20.0
data_20140618_083343_4995.h5	1.0	1.0	1.0	0.05	50	True	True	20.0
data_20140619_042233_5251.h5	1.0	1.0	1.0	0.05	50	True	True	20.0
data_20140620_001426_5630.h5	1.0	1.0	1.0	0.05	50	True	True	20.0
data_20140620_222356_6044.h5	1.0	1.0	1.0	0.05	70	True	True	20.0
data_20140621_192551_6436.h5	1.0	1.0	1.0	0.05	70	True	True	20.0
data_20140622_163445_6840.h5	1.0	1.0	1.0	0.05	70	True	True	20.0
data_20140623_133824_7382.h5	1.0	1.0	1.0	0.05	70	True	True	20.0
