filename	gaba_sd	ampa_sd	nmda_sd	em_sd	deepbasket_count	stimulated	tcr_spiked	simtime
# data_20130527_195823_9935.h5	1.0	1.0	0.0	0.01	30	True	True	20.0
# data_20130531_151641_12116.h5	1.0	1.0	0.0	0.01	30	True	True	20.0
# data_20130603_151249_13824.h5	1.0	1.0	0.0	0.01	50	True	True	20.0
# data_20130604_130038_14430.h5	1.0	1.0	0.0	0.01	50	True	True	20.0
# data_20130606_214805_16457.h5	1.0	1.0	0.0	0.01	50	True	True	20.0
# data_20130607_184007_17341.h5	1.0	1.0	0.0	0.01	50	True	True	20.0
# data_20130611_164312_19342.h5	1.0	1.0	0.0	0.01	50	True	True	20.0
# data_20130701_120534_29527.h5	1.0	1.0	0.0	0.01	10	True	True	20.0
# data_20130701_163030_30420.h5	1.0	1.0	0.0	0.01	10	True	True	20.0
# data_20130701_204723_30581.h5	1.0	1.0	0.0	0.01	10	True	True	20.0
# data_20130702_164810_32251.h5	1.0	1.0	0.0	0.01	30	True	True	20.0
# data_20130926_175557_23146.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20130927_130032_23546.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20130928_080248_24083.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20130929_030046_24339.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20130929_220020_24746.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20130930_165908_25439.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20131001_135346_28969.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20131002_085713_29287.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20131003_040158_30053.h5	0.1	0.1	0.1	0.0	30	True	True	5.0
# data_20131003_092701_30287.h5	0.1	0.1	0.1	0.0	30	True	True	5.0
# data_20131003_145246_30810.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20131004_121723_31136.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20131005_094752_31458.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20131006_072246_31658.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20131007_045415_31995.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20131008_022708_32336.h5	0.1	0.1	0.1	0.0	30	True	True	20.0
# data_20140228_103300_20533.h5	1.0	1.0	1.0	0.05	30	True	True	20.0
# data_20140301_171224_21051.h5	1.0	1.0	1.0	0.05	40	True	True	20.0
# data_20140324_123836_31910.h5	1.0	1.0	1.0	0.05	0	True	False	20.0
data_20140520_123248_17595.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140521_090848_17993.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140522_055626_18272.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140523_024613_18685.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140523_233014_19087.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140525_130513_20265.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
data_20140526_110240_20695.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
data_20140527_101534_21120.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
data_20140528_082350_21537.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
data_20140529_061537_21860.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
# data_20140629_164456_10475.h5	1.0	1.0	1.0	0.05	30	True	True	20.0
# data_20140630_191551_10936.h5	1.0	1.0	1.0	0.05	30	True	True	20.0
# data_20140701_140111_11316.h5	1.0	1.0	1.0	0.05	30	True	True	20.0
# data_20140702_084007_11691.h5	1.0	1.0	1.0	0.05	30	True	True	20.0
# data_20140703_031810_11938.h5	1.0	1.0	1.0	0.05	30	True	True	20.0
# data_20140704_104759_12955.h5	1.0	1.0	1.0	0.05	40	True	True	20.0
# data_20140705_060717_13207.h5	1.0	1.0	1.0	0.05	40	True	True	20.0
# data_20140706_012908_13593.h5	1.0	1.0	1.0	0.05	40	True	True	20.0
# data_20140706_204813_13979.h5	1.0	1.0	1.0	0.05	40	True	True	20.0
# data_20140707_160525_14373.h5	1.0	1.0	1.0	0.05	40	True	True	20.0
# data_20140708_130425_14773.h5	1.0	1.0	1.0	0.05	50	True	True	20.0
# data_20140709_090258_15296.h5	1.0	1.0	1.0	0.05	50	True	True	20.0
# data_20140710_045131_15556.h5	1.0	1.0	1.0	0.05	50	True	True	20.0
# data_20140711_003558_16655.h5	1.0	1.0	1.0	0.05	50	True	True	20.0
# data_20140711_203218_17106.h5	1.0	1.0	1.0	0.05	50	True	True	20.0
# data_20140712_193449_17528.h5	1.0	1.0	1.0	0.05	60	True	True	20.0
# data_20140713_160758_18067.h5	1.0	1.0	1.0	0.05	60	True	True	20.0
data_20140719_203045_21294.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140720_193239_21856.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140721_155857_22403.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140722_122930_22791.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140723_091844_23182.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140721_113042_100163_compute-0-1.local.h5	0.1	0.1	0.1	0.05	50	True	True	20.0
data_20140721_115856_101223_compute-0-1.local.h5	0.1	0.1	0.1	0.05	50	True	True	20.0
data_20140721_115856_101752_compute-0-4.local.h5	0.1	0.1	0.1	0.05	50	True	True	20.0
data_20140721_115856_101753_compute-0-4.local.h5	0.1	0.1	0.1	0.05	50	True	True	20.0
data_20140721_115856_118732_compute-0-0.local.h5	0.1	0.1	0.1	0.05	50	True	True	20.0
data_20140721_115856_118733_compute-0-0.local.h5	0.1	0.1	0.1	0.05	50	True	True	20.0
data_20140721_115856_88133_compute-0-2.local.h5	0.1	0.1	0.1	0.05	50	True	True	20.0
data_20140721_115856_88134_compute-0-2.local.h5	0.1	0.1	0.1	0.05	50	True	True	20.0
data_20140721_115856_95593_compute-0-3.local.h5	0.1	0.1	0.1	0.05	50	True	True	20.0
data_20140721_115856_95594_compute-0-3.local.h5	0.1	0.1	0.1	0.05	50	True	True	20.0
data_20140722_224200_172254_compute-0-4.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140722_224333_158822_compute-0-2.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140722_224333_166161_compute-0-3.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140722_224333_171891_compute-0-1.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140722_224333_172425_compute-0-4.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140722_224333_172426_compute-0-4.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140722_224333_189411_compute-0-0.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140724_125424_236053_compute-0-2.local.h5	0.1	0.1	0.1	0.05	30	True	True	20.0
